Date,portfolio_returns,costs,portfolio_returns_net,cumulative_net,turnover
2021-08-31,0.031325966313361445,0.0,0.031325966313361445,2.700452929338418,0.0
2021-09-30,-0.04408016660007367,0.0,-0.04408016660007367,2.5814165143175236,0.0
2021-10-31,0.06377270116711498,0.0,0.06377270116711498,2.7460404182729508,0.0
2021-11-30,-0.010463434065985894,0.0,-0.010463434065985894,2.7173074054138193,0.0
2021-12-31,0.026828613118152617,0.0,0.026828613118152617,2.7902089945167576,0.0
2022-01-31,-0.07851940225054997,0.0,-0.07851940225054997,2.5711234521131936,0.0
2022-02-28,-0.02131360201517729,0.0,-0.02131360201517729,2.5163235501229644,0.0
2022-03-31,0.03194808174700851,0.0,0.03194808174700851,2.5967152606042156,0.0
2022-04-30,-0.10757267332543288,0.0,-0.10757267332543288,2.317379658156072,0.0
2022-05-31,-0.003887489759289912,0.0,-0.003887489759289912,2.3083708684666036,0.0
2022-06-30,-0.08506751189345499,0.0,-0.08506751189345499,2.112003502158816,0.0
2022-07-31,0.10774594651428196,0.0,0.10774594651428196,2.339563318540396,0.0
2022-08-31,-0.03738360400087252,0.0,-0.03738360400087252,2.2521020099051148,0.0
2022-09-30,-0.0981351558293028,0.0,-0.0981351558293028,2.0310916282195906,0.0
2022-10-31,0.07763457283860445,0.0,0.07763457283860445,2.1887745591724843,0.0
2022-11-30,0.0443565919178069,0.0,0.0443565919178069,2.2858611390937758,0.0
2022-12-31,-0.07096860895143622,0.0,-0.07096860895143622,2.123636753796145,0.0
2023-01-31,0.08916805258454188,0.0,0.08916805258454188,2.3129973075291055,0.0
2023-02-28,-0.015324926313690014,0.0,-0.015324926313690014,2.2775507942274587,0.0
2023-03-31,0.027843784800382854,0.0,0.027843784800382854,2.3409664284138687,0.0
2023-04-30,0.0010389627788155442,0.0,0.0010389627788155442,2.3433986053994476,0.0
2023-05-31,0.025097436329537683,0.0,0.025097436329537683,2.4022119026931876,0.0
2023-06-30,0.06950377102268475,0.0,0.06950377102268475,2.569174688725943,0.0
2023-07-31,0.04414098902962841,0.0,0.04414098902962841,2.682580600476194,0.0
2023-08-31,-0.02730340736728039,0.0,-0.02730340736728039,2.6093370095458286,0.0
2023-09-30,-0.05225641310748056,0.0,-0.05225641310748056,2.472982416838364,0.0
2023-10-31,-0.03716804759336208,0.0,-0.03716804759336208,2.381066488671768,0.0
2023-11-30,0.09718572452306762,0.0,0.09718572452306762,2.6124721605109302,0.0
2023-12-31,0.07426214402156117,0.0,0.07426214402156117,2.806479944347112,0.0
